Year,"Geographic
Region,
Based on
state of
death",State of Death,"Age
Group","Veteran
Suicides","Veteran
Suicide
Rate
per
100,000","General
Population
Suicides","General
Population
Rate per
100,000"
2010,West,Hawaii,18-34,<10,--,65,22.6
2010,West,Hawaii,35-54,<10,--,84,23.2
2010,West,Hawaii,55-74,<10,--,44,15.7
2010,West,Hawaii,75+,<10,--,10,10.5*
2010,West,Idaho,Total,58,45.0,278,24.4
2010,West,Idaho,18-34,<10,--,70,19.3
2010,West,Idaho,35-54,10-20,--,101,25.2
2010,West,Idaho,55-74,22,38.6,81,27.8
2010,West,Idaho,75+,15,55.6*,26,30.1
2010,West,Montana,Total,52,51.5,218,28.5
2010,West,Montana,18-34,<10,--,60,28.1
2010,West,Montana,35-54,11,42.3*,67,25.5
2010,West,Montana,55-74,22,48.9,69,31.0
2010,West,Montana,75+,10-20,--,22,33.1
2010,West,Nevada,Total,112,47.3,539,26.6
2010,West,Nevada,18-34,<10,--,117,18.6
2010,West,Nevada,35-54,33,50.0,205,27.1
2010,West,Nevada,55-74,47,43.9,173,33.4
2010,West,Nevada,75+,20-30,--,44,34.6
2010,West,New Mexico,Total,66,37.9,394,25.6
2010,West,New Mexico,18-34,<10,--,124,26.7
2010,West,New Mexico,35-54,10-20,--,150,27.7
2010,West,New Mexico,55-74,29,36.7,95,22.9
2010,West,New Mexico,75+,17,50.0*,25,21.0
2010,West,Oregon,Total,127,37.7,679,22.9
2010,West,Oregon,18-34,<10,--,134,15.2
2010,West,Oregon,35-54,39,47.0,286,27.6
2010,West,Oregon,55-74,47,29.9,192,23.8
2010,West,Oregon,75+,30-40,--,67,27.5
2010,West,Utah,Total,62,41.9,451,23.8
2010,West,Utah,18-34,<10,--,181,23.7
2010,West,Utah,35-54,14,38.9*,154,24.0
2010,West,Utah,55-74,27,43.5,94,24.7
2010,West,Utah,75+,10-20,--,22,19.8
2010,West,Washington,Total,166,27.1,932,18.2
2010,West,Washington,18-34,20,31.3,240,15.4
2010,West,Washington,35-54,58,32.4,382,20.3
2010,West,Washington,55-74,59,22.6,226,17.4
2010,West,Washington,75+,29,26.6,84,22.6
2010,West,Wyoming,Total,27,57.4,126,29.6
2010,West,Wyoming,18-34,<10,--,37,28.1
2010,West,Wyoming,35-54,11,91.7*,46,30.7
2010,West,Wyoming,55-74,<10,--,33,29.1
2010,West,Wyoming,75+,<10,--,10,33.2*
2011, ,Total U.S.,Total,"6,124",27.7,"38,379",16.2
2011, ,Total U.S.,18-34,644,30.6,"10,080",14.0
2011, ,Total U.S.,35-54,"1,916",32.8,"15,457",18.1
2011, ,Total U.S.,55-74,"2,185",23.5,"9,700",16.0
2011, ,Total U.S.,75+,"1,375",28.5,"3,142",16.6
2011,Northeast,All,Total,785,23.5,"5,542",12.8
2011,Northeast,All,18-34,61,25.6,"1,359",10.8
2011,Northeast,All,35-54,253,33.4,"2,337",14.9
2011,Northeast,All,55-74,273,19.3,"1,376",12.3
2011,Northeast,All,75+,197,21.4,470,12.3
2011,Northeast,Connecticut,Total,54,23.8,361,13.0
2011,Northeast,Connecticut,18-34,<10,--,83,11.0
2011,Northeast,Connecticut,35-54,19,38.8*,161,15.5
2011,Northeast,Connecticut,55-74,19,19.4*,89,12.3
2011,Northeast,Connecticut,75+,10-20,--,28,11.1
2011,Northeast,Maine,Total,46,35.4,232,22.0
2011,Northeast,Maine,18-34,<10,--,50,19.3
2011,Northeast,Maine,35-54,10-20,--,95,24.9
2011,Northeast,Maine,55-74,17,29.8*,59,18.7
2011,Northeast,Maine,75+,15,51.7*,28,28.0
2011,Northeast,Massachusetts,Total,70,18.2,567,11.0
2011,Northeast,Massachusetts,18-34,<10,--,134,8.7
2011,Northeast,Massachusetts,35-54,21,25.3,263,14.0
2011,Northeast,Massachusetts,55-74,28,17.4,140,10.7
2011,Northeast,Massachusetts,75+,10-20,--,30,6.7
2011,Northeast,New Hampshire,Total,30,26.3,193,18.6
2011,Northeast,New Hampshire,18-34,<10,--,41,15.2
2011,Northeast,New Hampshire,35-54,<10,--,87,21.9
2011,Northeast,New Hampshire,55-74,12,22.6*,53,18.4
2011,Northeast,New Hampshire,75+,<10,--,12,14.5*
2011,Northeast,New Jersey,Total,71,15.8,665,9.8
2011,Northeast,New Jersey,18-34,<10,--,148,7.8
2011,Northeast,New Jersey,35-54,10-20,--,279,10.8
2011,Northeast,New Jersey,55-74,23,12.2,175,10.2
2011,Northeast,New Jersey,75+,25,18.0,63,10.9
2011,Northeast,New York,Total,216,22.9,"1,606",10.6
2011,Northeast,New York,18-34,18,24.3*,433,9.3
2011,Northeast,New York,35-54,74,33.5,645,11.9
2011,Northeast,New York,55-74,75,19.3,392,10.4
2011,Northeast,New York,75+,49,19.0,136,10.7
2011,Northeast,Pennsylvania,Total,253,26.1,"1,705",17.1
2011,Northeast,Pennsylvania,18-34,18,26.9*,420,15.0
2011,Northeast,Pennsylvania,35-54,87,39.2,724,20.7
2011,Northeast,Pennsylvania,55-74,78,18.7,406,15.1
2011,Northeast,Pennsylvania,75+,70,26.8,155,15.8
2011,Northeast,Rhode Island,Total,17,24.3*,97,11.7
2011,Northeast,Rhode Island,18-34,<10,--,20-30,--
2011,Northeast,Rhode Island,35-54,<10,--,42,14.4
2011,Northeast,Rhode Island,55-74,<10,--,31,14.7
2011,Northeast,Rhode Island,75+,<10,--,<10,--
2011,Northeast,Vermont,Total,28,58.3,116,23.2
2011,Northeast,Vermont,18-34,<10,--,30,22.1
2011,Northeast,Vermont,35-54,<10,--,41,23.2
2011,Northeast,Vermont,55-74,13,59.1*,31,21.3
2011,Northeast,Vermont,75+,<10,--,14,33.4*
2011,Midwest,All,Total,"1,258",26.2,"8,098",15.8
2011,Midwest,All,18-34,121,30.8,"2,284",15.0
2011,Midwest,All,35-54,398,32.9,"3,335",18.3
2011,Midwest,All,55-74,433,20.8,"1,854",13.9
2011,Midwest,All,75+,305,27.2,625,14.4
2011,Midwest,Illinois,Total,154,20.7,"1,182",12.1
2011,Midwest,Illinois,18-34,22,33.8,346,11.5
2011,Midwest,Illinois,35-54,45,25.1,481,13.5
2011,Midwest,Illinois,55-74,54,17.1,259,10.7
2011,Midwest,Illinois,75+,33,18.0,96,12.5
2011,Midwest,Indiana,Total,127,27.2,859,17.5
2011,Midwest,Indiana,18-34,<10,--,242,16.2
2011,Midwest,Indiana,35-54,41,32.3,376,21.3
2011,Midwest,Indiana,55-74,46,22.9,179,14.1
2011,Midwest,Indiana,75+,30-40,--,62,15.7
2011,Midwest,Iowa,Total,75,32.5,403,17.2
2011,Midwest,Iowa,18-34,<10,--,99,14.2
2011,Midwest,Iowa,35-54,29,52.7,181,22.9
2011,Midwest,Iowa,55-74,23,23.7,93,15.0
2011,Midwest,Iowa,75+,10-20,--,30,13.1
2011,Midwest,Kansas,Total,57,25.8,381,17.9
2011,Midwest,Kansas,18-34,<10,--,118,17.9
2011,Midwest,Kansas,35-54,16,27.6*,146,19.6
2011,Midwest,Kansas,55-74,28,31.8,87,16.1
2011,Midwest,Kansas,75+,<10,--,30,16.0
2011,Midwest,Michigan,Total,187,27.4,"1,176",15.5
2011,Midwest,Michigan,18-34,15,35.7*,321,14.9
2011,Midwest,Michigan,35-54,68,40.0,491,18.0
2011,Midwest,Michigan,55-74,50,16.3,263,12.8
2011,Midwest,Michigan,75+,53,32.1,101,15.7
2011,Midwest,Minnesota,Total,101,26.6,656,16.1
2011,Midwest,Minnesota,18-34,<10,--,185,15.0
2011,Midwest,Minnesota,35-54,35,40.7,252,17.1
2011,Midwest,Minnesota,55-74,35,20.5,179,17.4
2011,Midwest,Minnesota,75+,20-30,--,40,12.0
2011,Midwest,Missouri,Total,136,27.3,908,19.8
2011,Midwest,Missouri,18-34,11,25.0*,244,18.0
2011,Midwest,Missouri,35-54,46,35.7,390,24.2
2011,Midwest,Missouri,55-74,42,19.4,197,16.2
2011,Midwest,Missouri,75+,37,33.9,77,19.6
2011,Midwest,Nebraska,Total,39,26.7,187,13.6
2011,Midwest,Nebraska,18-34,<10,--,53,12.4
2011,Midwest,Nebraska,35-54,11,30.6*,72,15.2
2011,Midwest,Nebraska,55-74,10-20,--,38,10.9
2011,Midwest,Nebraska,75+,15,42.9*,24,19.3
2011,Midwest,North Dakota,Total,21,36.2,99,18.8
2011,Midwest,North Dakota,18-34,<10,--,20-30,--
2011,Midwest,North Dakota,35-54,<10,--,39,23.0
2011,Midwest,North Dakota,55-74,<10,--,30,22.3
2011,Midwest,North Dakota,75+,<10,--,<10,--
2011,Midwest,Ohio,Total,237,26.5,"1,411",16.0
2011,Midwest,Ohio,18-34,29,43.9,391,15.5
2011,Midwest,Ohio,35-54,68,28.8,572,18.1
2011,Midwest,Ohio,55-74,81,20.8,348,14.6
2011,Midwest,Ohio,75+,59,29.2,100,12.9
2011,Midwest,South Dakota,Total,21,28.0,121,19.6
2011,Midwest,South Dakota,18-34,<10,--,42,22.5
2011,Midwest,South Dakota,35-54,<10,--,42,19.9
2011,Midwest,South Dakota,55-74,11,36.7*,20-30,--
2011,Midwest,South Dakota,75+,<10,--,<10,--
2011,Midwest,Wisconsin,Total,103,25.0,715,16.3
2011,Midwest,Wisconsin,18-34,10,31.3*,218,17.0
2011,Midwest,Wisconsin,35-54,28,28.6,293,18.7
2011,Midwest,Wisconsin,55-74,44,23.9,153,13.4
2011,Midwest,Wisconsin,75+,21,21.4,51,13.4
2011,South,Alabama,Total,119,29.5,641,17.5
2011,South,Alabama,18-34,10,25.6*,187,17.2
2011,South,Alabama,35-54,34,29.8,229,17.7
2011,South,Alabama,55-74,47,27.0,172,17.4
2011,South,Alabama,75+,28,36.8,53,18.1
2011,South,All,Total,"2,514",27.9,"14,889",17.0
2011,South,All,18-34,295,31.0,"3,848",14.4
2011,South,All,35-54,778,30.0,"5,961",18.9
2011,South,All,55-74,906,24.4,"3,875",17.2
2011,South,All,75+,534,30.7,"1,205",17.8
2011,South,Arkansas,Total,76,31.4,452,20.3
2011,South,Arkansas,18-34,12,52.2*,118,17.8
2011,South,Arkansas,35-54,27,42.2,208,27.1
2011,South,Arkansas,55-74,25,24.0,100,16.6
2011,South,Arkansas,75+,12,23.5*,26,13.7
2011,South,Delaware,Total,15,20.0*,99,14.2
2011,South,Delaware,18-34,<10,--,20-30,--
2011,South,Delaware,35-54,<10,--,36,14.6
2011,South,Delaware,55-74,<10,--,29,15.1
2011,South,Delaware,75+,<10,--,<10,--
2011,South,District Of Columbia,Total,<10,--,36,7.1
2011,South,District Of Columbia,18-34,<10,--,13,6.0*
2011,South,District Of Columbia,35-54,<10,--,13,8.2*
2011,South,District Of Columbia,55-74,<10,--,<10,--
2011,South,District Of Columbia,75+,<10,--,<10,--
2011,South,Florida,Total,513,31.5,"2,827",18.8
2011,South,Florida,18-34,44,35.5,563,13.8
2011,South,Florida,35-54,151,36.5,"1,106",21.5
2011,South,Florida,55-74,188,28.3,845,20.1
2011,South,Florida,75+,130,30.7,313,19.8
2011,South,Georgia,Total,185,25.5,"1,135",15.6
2011,South,Georgia,18-34,25,30.9,304,13.2
2011,South,Georgia,35-54,53,22.0,466,16.8
2011,South,Georgia,55-74,72,24.2,286,16.3
2011,South,Georgia,75+,35,32.7,79,18.2
2011,South,Kentucky,Total,110,33.3,663,19.9
2011,South,Kentucky,18-34,11,34.4*,173,17.7
2011,South,Kentucky,35-54,35,37.6,276,22.9
2011,South,Kentucky,55-74,44,30.8,170,19.0
2011,South,Kentucky,75+,20,32.3,44,17.1
2011,South,Louisiana,Total,73,22.5,554,16.1
2011,South,Louisiana,18-34,<10,--,160,14.5
2011,South,Louisiana,35-54,20-30,--,228,18.9
2011,South,Louisiana,55-74,23,16.8,119,13.5
2011,South,Louisiana,75+,22,36.7,47,18.8
2011,South,Maryland,Total,84,19.4,543,12.2
2011,South,Maryland,18-34,10,25.0*,142,10.7
2011,South,Maryland,35-54,24,17.9,209,12.5
2011,South,Maryland,55-74,30,17.3,135,12.0
2011,South,Maryland,75+,20,23.3,57,17.3
2011,South,Mississippi,Total,58,26.7,378,17.1
2011,South,Mississippi,18-34,<10,--,105,15.4
2011,South,Mississippi,35-54,10-20,--,139,17.7
2011,South,Mississippi,55-74,19,21.1*,101,17.4
2011,South,Mississippi,75+,19,46.3*,33,19.7
2011,South,North Carolina,Total,184,23.9,"1,190",16.3
2011,South,North Carolina,18-34,30,32.6,317,14.8
2011,South,North Carolina,35-54,50,22.0,483,18.1
2011,South,North Carolina,55-74,65,20.7,306,16.0
2011,South,North Carolina,75+,39,28.3,84,15.3
2011,South,Oklahoma,Total,120,36.0,676,23.8
2011,South,Oklahoma,18-34,14,36.8*,196,22.1
2011,South,Oklahoma,35-54,43,49.4,288,29.5
2011,South,Oklahoma,55-74,39,27.3,147,19.7
2011,South,Oklahoma,75+,24,36.9,45,19.7
2011,South,South Carolina,Total,115,28.5,639,17.9
2011,South,South Carolina,18-34,11,26.8*,170,16.2
2011,South,South Carolina,35-54,42,35.3,245,19.6
2011,South,South Carolina,55-74,42,24.6,173,17.4
2011,South,South Carolina,75+,19,26.0*,51,18.9
2011,South,Tennessee,Total,161,32.0,941,19.2
2011,South,Tennessee,18-34,19,38.8*,227,15.8
2011,South,Tennessee,35-54,43,30.3,385,21.9
2011,South,Tennessee,55-74,67,30.3,267,20.2
2011,South,Tennessee,75+,32,35.2,62,16.5
2011,South,Texas,Total,473,28.5,"2,789",15.0
2011,South,Texas,18-34,66,31.4,801,12.8
2011,South,Texas,35-54,162,33.6,"1,121",16.2
2011,South,Texas,55-74,157,23.2,677,15.8
2011,South,Texas,75+,88,30.4,190,16.3
2011,South,Virginia,Total,169,22.2,"1,025",16.7
2011,South,Virginia,18-34,22,22.4,265,14.3
2011,South,Virginia,35-54,56,21.8,405,17.8
2011,South,Virginia,55-74,59,20.6,265,16.9
2011,South,Virginia,75+,32,27.1,90,20.5
2011,South,West Virginia,Total,56,35.0,301,20.5
2011,South,West Virginia,18-34,<10,--,78,19.9
2011,South,West Virginia,35-54,19,47.5*,124,24.7
2011,South,West Virginia,55-74,19,26.4*,74,16.8
2011,South,West Virginia,75+,10-20,--,25,18.6
2011,West,Alaska,Total,18,23.7*,141,27.2
2011,West,Alaska,18-34,<10,--,60,35.2
2011,West,Alaska,35-54,<10,--,53,26.8
2011,West,Alaska,55-74,<10,--,20-30,--
2011,West,Alaska,75+,<10,--,<10,--
2011,West,All,Total,"1,567",31.9,"9,850",18.0
2011,West,All,18-34,167,32.6,"2,589",14.8
2011,West,All,35-54,487,38.2,"3,824",19.4
2011,West,All,55-74,573,27.5,"2,595",19.3
2011,West,All,75+,339,32.4,842,21.2
2011,West,Arizona,Total,197,36.8,"1,121",23.1
2011,West,Arizona,18-34,24,51.1,293,19.5
2011,West,Arizona,35-54,52,38.5,443,26.7
2011,West,Arizona,55-74,75,32.9,283,22.1
2011,West,Arizona,75+,46,36.8,102,25.6
2011,West,California,Total,571,28.6,"3,904",13.8
2011,West,California,18-34,64,30.0,944,10.2
2011,West,California,35-54,172,35.1,"1,494",14.4
2011,West,California,55-74,205,24.8,"1,082",16.4
2011,West,California,75+,130,27.8,384,19.0
2011,West,Colorado,Total,136,32.6,882,22.9
2011,West,Colorado,18-34,15,34.1*,245,20.1
2011,West,Colorado,35-54,52,42.3,371,25.9
2011,West,Colorado,55-74,48,27.4,212,22.2
2011,West,Colorado,75+,21,28.0,54,21.9
2011,West,Hawaii,Total,23,18.9,175,16.9
2011,West,Hawaii,18-34,<10,--,62,20.9
2011,West,Hawaii,35-54,<10,--,57,16.0
2011,West,Hawaii,55-74,10,22.7*,40-50,--
2011,West,Hawaii,75+,<10,--,<10,--
2011,West,Idaho,Total,56,44.4,266,23.0
2011,West,Idaho,18-34,<10,--,68,18.7
2011,West,Idaho,35-54,18,54.5*,117,29.3
2011,West,Idaho,55-74,20,37.0,62,20.3
2011,West,Idaho,75+,10-20,--,19,21.8*
2011,West,Montana,Total,58,59.2,227,29.4
2011,West,Montana,18-34,<10,--,65,29.5
2011,West,Montana,35-54,16,64.0*,86,33.7
2011,West,Montana,55-74,24,55.8,60,26.1
2011,West,Montana,75+,10-20,--,16,23.9*
2011,West,Nevada,Total,79,33.5,493,24.1
2011,West,Nevada,18-34,<10,--,108,17.2
2011,West,Nevada,35-54,25,39.1,191,25.3
2011,West,Nevada,55-74,29,27.6,153,28.7
2011,West,Nevada,75+,10-20,--,41,30.7
2011,West,New Mexico,Total,68,39.8,400,25.7
2011,West,New Mexico,18-34,<10,--,123,25.7
2011,West,New Mexico,35-54,21,45.7,152,28.8
2011,West,New Mexico,55-74,20,26.7,91,21.2
2011,West,New Mexico,75+,10-20,--,34,28.2
2011,West,Oregon,Total,130,38.7,638,21.2
2011,West,Oregon,18-34,11,44.0*,160,17.9
2011,West,Oregon,35-54,49,62.0,260,25.2
2011,West,Oregon,55-74,42,26.6,161,19.3
2011,West,Oregon,75+,28,37.8,57,23.1
2011,West,Utah,Total,52,34.9,484,25.1
2011,West,Utah,18-34,<10,--,159,20.8
2011,West,Utah,35-54,18,51.4*,193,29.6
2011,West,Utah,55-74,18,28.6*,105,26.3
2011,West,Utah,75+,10-20,--,27,23.5
2011,West,Washington,Total,156,25.8,992,19.1
2011,West,Washington,18-34,16,25.0*,266,16.8
2011,West,Washington,35-54,41,24.0,354,18.9
2011,West,Washington,55-74,70,26.8,289,21.3
2011,West,Washington,75+,29,26.6,83,22.0
2011,West,Wyoming,Total,23,46.0,127,29.5
2011,West,Wyoming,18-34,<10,--,36,26.7
2011,West,Wyoming,35-54,10,83.3*,53,36.1
2011,West,Wyoming,55-74,<10,--,27,22.9
2011,West,Wyoming,75+,<10,--,11,35.5*
2012, ,Total U.S.,Total,"6,087",27.9,"39,426",16.5
2012, ,Total U.S.,18-34,685,32.3,"10,229",14.1
2012, ,Total U.S.,35-54,"1,848",32.8,"15,620",18.4
2012, ,Total U.S.,55-74,"2,174",23.6,"10,296",16.5
2012, ,Total U.S.,75+,"1,377",28.6,"3,281",17.1
2012,Northeast,All,Total,688,21.2,"5,469",12.5
2012,Northeast,All,18-34,61,25.6,"1,361",10.7
2012,Northeast,All,35-54,222,30.6,"2,279",14.7
2012,Northeast,All,55-74,248,17.8,"1,428",12.4
2012,Northeast,All,75+,157,17.6,401,10.4
2012,Northeast,Connecticut,Total,39,18.2,357,12.8
2012,Northeast,Connecticut,18-34,<10,--,75,9.8
2012,Northeast,Connecticut,35-54,15,32.6*,166,16.2
2012,Northeast,Connecticut,55-74,13,14.1*,94,12.5
2012,Northeast,Connecticut,75+,<10,--,22,8.8
2012,Northeast,Maine,Total,36,28.6,204,19.2
2012,Northeast,Maine,18-34,<10,--,35,13.3
2012,Northeast,Maine,35-54,14,43.8*,95,25.6
2012,Northeast,Maine,55-74,11,19.6*,57,17.4
2012,Northeast,Maine,75+,<10,--,17,16.9*
2012,Northeast,Massachusetts,Total,63,16.4,587,11.2
2012,Northeast,Massachusetts,18-34,<10,--,154,9.8
2012,Northeast,Massachusetts,35-54,22,27.5,261,14.0
2012,Northeast,Massachusetts,55-74,19,11.6*,139,10.2
2012,Northeast,Massachusetts,75+,10-20,--,33,7.3
2012,Northeast,New Hampshire,Total,31,27.9,195,18.7
2012,Northeast,New Hampshire,18-34,<10,--,39,14.3
2012,Northeast,New Hampshire,35-54,14,48.3*,94,24.2
2012,Northeast,New Hampshire,55-74,<10,--,49,16.4
2012,Northeast,New Hampshire,75+,<10,--,13,15.4*
2012,Northeast,New Jersey,Total,65,14.9,670,9.8
2012,Northeast,New Jersey,18-34,<10,--,178,9.3
2012,Northeast,New Jersey,35-54,22,25.0,279,10.9
2012,Northeast,New Jersey,55-74,20,10.8,168,9.5
2012,Northeast,New Jersey,75+,10-20,--,45,7.8
2012,Northeast,New York,Total,184,19.9,"1,662",10.9
2012,Northeast,New York,18-34,19,25.7*,427,9.0
2012,Northeast,New York,35-54,47,22.4,655,12.2
2012,Northeast,New York,55-74,72,18.6,451,11.6
2012,Northeast,New York,75+,46,18.3,129,10.1
2012,Northeast,Pennsylvania,Total,251,26.8,"1,606",16.0
2012,Northeast,Pennsylvania,18-34,19,28.4*,409,14.4
2012,Northeast,Pennsylvania,35-54,82,38.5,644,18.8
2012,Northeast,Pennsylvania,55-74,98,24.2,426,15.4
2012,Northeast,Pennsylvania,75+,52,20.7,127,13.0
2012,Northeast,Rhode Island,Total,12,16.9*,103,12.4
2012,Northeast,Rhode Island,18-34,<10,--,24,9.7
2012,Northeast,Rhode Island,35-54,<10,--,49,17.1
2012,Northeast,Rhode Island,55-74,<10,--,20-30,--
2012,Northeast,Rhode Island,75+,<10,--,<10,--
2012,Northeast,Vermont,Total,<10,--,85,16.9
2012,Northeast,Vermont,18-34,<10,--,20-30,--
2012,Northeast,Vermont,35-54,<10,--,36,21.1
2012,Northeast,Vermont,55-74,<10,--,22,14.6
2012,Northeast,Vermont,75+,<10,--,<10,--
2012,Midwest,All,Total,"1,297",27.6,"8,375",16.3
2012,Midwest,All,18-34,153,38.7,"2,286",14.9
2012,Midwest,All,35-54,402,34.6,"3,415",19.0
2012,Midwest,All,55-74,433,21.2,"2,009",14.6
2012,Midwest,All,75+,308,27.9,665,15.2
2012,Midwest,Illinois,Total,172,23.7,"1,252",12.8
2012,Midwest,Illinois,18-34,16,24.6*,309,10.2
2012,Midwest,Illinois,35-54,54,31.6,535,15.2
2012,Midwest,Illinois,55-74,54,17.5,303,12.2
2012,Midwest,Illinois,75+,47,26.1,105,13.6
2012,Midwest,Indiana,Total,145,31.6,912,18.4
2012,Midwest,Indiana,18-34,20,52.6,241,16.1
2012,Midwest,Indiana,35-54,63,51.6,389,22.3
2012,Midwest,Indiana,55-74,37,18.6,217,16.6
2012,Midwest,Indiana,75+,25,25.0,65,16.4
2012,Midwest,Iowa,Total,53,23.6,364,15.5
2012,Midwest,Iowa,18-34,<10,--,113,16.1
2012,Midwest,Iowa,35-54,18,34.0*,151,19.3
2012,Midwest,Iowa,55-74,16,17.0*,71,11.2
2012,Midwest,Iowa,75+,10-20,--,29,12.6
2012,Midwest,Kansas,Total,69,31.2,482,22.5
2012,Midwest,Kansas,18-34,10,38.5*,150,22.4
2012,Midwest,Kansas,35-54,19,33.3*,188,25.7
2012,Midwest,Kansas,55-74,21,23.3,106,19.0
2012,Midwest,Kansas,75+,19,39.6*,38,20.3
2012,Midwest,Michigan,Total,163,24.4,"1,203",15.8
2012,Midwest,Michigan,18-34,22,51.2,334,15.4
2012,Midwest,Michigan,35-54,38,23.2,488,18.2
2012,Midwest,Michigan,55-74,64,21.2,284,13.4
2012,Midwest,Michigan,75+,39,24.4,97,15.0
2012,Midwest,Minnesota,Total,112,30.3,626,15.3
2012,Midwest,Minnesota,18-34,11,37.9*,154,12.5
2012,Midwest,Minnesota,35-54,43,52.4,275,18.9
2012,Midwest,Minnesota,55-74,36,21.6,159,14.9
2012,Midwest,Minnesota,75+,22,23.9,38,11.2
2012,Midwest,Missouri,Total,162,33.1,893,19.4
2012,Midwest,Missouri,18-34,15,34.9*,253,18.5
2012,Midwest,Missouri,35-54,42,34.1,345,21.8
2012,Midwest,Missouri,55-74,60,27.8,220,17.6
2012,Midwest,Missouri,75+,45,41.7,75,19.0
2012,Midwest,Nebraska,Total,42,30.4,222,16.0
2012,Midwest,Nebraska,18-34,<10,--,63,14.6
2012,Midwest,Nebraska,35-54,11,30.6*,81,17.2
2012,Midwest,Nebraska,55-74,<10,--,52,14.4
2012,Midwest,Nebraska,75+,15,48.4*,26,20.9
2012,Midwest,North Dakota,Total,16,27.6*,100,18.5
2012,Midwest,North Dakota,18-34,<10,--,35,19.2
2012,Midwest,North Dakota,35-54,<10,--,42,24.8
2012,Midwest,North Dakota,55-74,<10,--,10-20,--
2012,Midwest,North Dakota,75+,<10,--,<10,--
2012,Midwest,Ohio,Total,248,28.6,"1,489",16.8
2012,Midwest,Ohio,18-34,23,34.8,380,15.0
2012,Midwest,Ohio,35-54,71,31.6,588,19.0
2012,Midwest,Ohio,55-74,93,24.5,390,15.8
2012,Midwest,Ohio,75+,61,31.0,131,16.8
2012,Midwest,South Dakota,Total,20,27.4,135,21.5
2012,Midwest,South Dakota,18-34,<10,--,45,23.2
2012,Midwest,South Dakota,35-54,<10,--,51,24.9
2012,Midwest,South Dakota,55-74,<10,--,30-40,--
2012,Midwest,South Dakota,75+,<10,--,<10,--
2012,Midwest,Wisconsin,Total,95,23.2,697,15.8
2012,Midwest,Wisconsin,18-34,14,43.8*,209,16.2
2012,Midwest,Wisconsin,35-54,31,32.6,282,18.2
2012,Midwest,Wisconsin,55-74,34,18.8,159,13.4
2012,Midwest,Wisconsin,75+,16,15.8*,47,12.2
2012,South,Alabama,Total,117,29.5,703,19.1
2012,South,Alabama,18-34,<10,--,160,14.7
2012,South,Alabama,35-54,39,35.1,292,22.8
2012,South,Alabama,55-74,47,27.5,196,19.3
2012,South,Alabama,75+,20-30,--,55,18.6
2012,South,All,Total,"2,520",28.1,"15,426",17.4
2012,South,All,18-34,275,28.8,"3,916",14.5
2012,South,All,35-54,737,29.2,"6,045",19.2
2012,South,All,55-74,921,24.8,"4,121",17.6
2012,South,All,75+,586,33.2,"1,344",19.5
2012,South,Arkansas,Total,82,34.6,466,20.9
2012,South,Arkansas,18-34,11,47.8*,126,19.0
2012,South,Arkansas,35-54,23,36.5,180,23.6
2012,South,Arkansas,55-74,34,33.3,124,20.1
2012,South,Arkansas,75+,14,28.6*,36,19.1
2012,South,Delaware,Total,18,23.7*,117,16.5
2012,South,Delaware,18-34,<10,--,38,18.5
2012,South,Delaware,35-54,<10,--,43,17.5
2012,South,Delaware,55-74,<10,--,26,13.1
2012,South,Delaware,75+,<10,--,10,16.7*
2012,South,District Of Columbia,Total,<10,--,35,6.7
2012,South,District Of Columbia,18-34,<10,--,12,5.5*
2012,South,District Of Columbia,35-54,<10,--,10-20,--
2012,South,District Of Columbia,55-74,<10,--,11,10.3*
2012,South,District Of Columbia,75+,<10,--,<10,--
2012,South,Florida,Total,512,31.7,"2,944",19.3
2012,South,Florida,18-34,35,28.2,545,13.1
2012,South,Florida,35-54,142,35.5,"1,141",22.2
2012,South,Florida,55-74,191,28.6,906,20.8
2012,South,Florida,75+,144,33.8,352,21.9
2012,South,Georgia,Total,183,24.9,"1,136",15.4
2012,South,Georgia,18-34,18,22.2*,312,13.4
2012,South,Georgia,35-54,65,27.8,440,15.9
2012,South,Georgia,55-74,64,21.0,303,16.7
2012,South,Georgia,75+,36,31.6,81,17.8
2012,South,Kentucky,Total,107,32.7,708,21.2
2012,South,Kentucky,18-34,19,59.4*,199,20.4
2012,South,Kentucky,35-54,28,31.1,282,23.6
2012,South,Kentucky,55-74,38,27.0,174,18.9
2012,South,Kentucky,75+,22,34.4,53,20.5
2012,South,Louisiana,Total,75,23.2,548,15.8
2012,South,Louisiana,18-34,10,25.0*,149,13.4
2012,South,Louisiana,35-54,22,25.9,226,18.9
2012,South,Louisiana,55-74,27,20.1,131,14.4
2012,South,Louisiana,75+,16,25.0*,42,16.5
2012,South,Maryland,Total,90,20.7,567,12.6
2012,South,Maryland,18-34,<10,--,137,10.1
2012,South,Maryland,35-54,25,18.9,228,13.7
2012,South,Maryland,55-74,36,20.7,156,13.4
2012,South,Maryland,75+,20-30,--,46,13.8
2012,South,Mississippi,Total,64,30.2,402,18.1
2012,South,Mississippi,18-34,<10,--,101,14.6
2012,South,Mississippi,35-54,20,33.9,177,23.0
2012,South,Mississippi,55-74,10-20,--,85,14.3
2012,South,Mississippi,75+,20,50.0,39,22.8
2012,South,North Carolina,Total,174,22.8,"1,251",16.9
2012,South,North Carolina,18-34,16,17.2*,313,14.5
2012,South,North Carolina,35-54,56,25.3,498,18.6
2012,South,North Carolina,55-74,67,21.4,345,17.4
